Andalgalomys roigi,pes length,9
Andalgalomys roigi,tail length,9
Andinomys edax,body length,38
Andinomys edax,body mass,29
Andinomys edax,ear length to notch,29
Andinomys edax,pes length,30
Andinomys edax,tail length,30
Anisomys imitator,body length,1
Anomalomys minutus,body length,1
Anomalurus Waterhouse,,body mass,1
Anomalurus derbianus,body length,6
Anomalurus derbianus,body mass,9
Anomalurus derbianus,ear length to notch,1
Anomalurus derbianus,pes length,1
Anomalurus derbianus,tail length,1
Anomalurus pusilla,body length,1
Anomalurus pusilla,ear length to notch,1
Anomalurus pusilla,pes length,1
Anomalurus pusilla,tail length,1
Anomalurus pusillus,body length,2
Anourosorex Milne-Edwards,body length,1
Anourosorex squamipes,body length,10
Anourosorex squamipes,body mass,9
Anourosorex squamipes,ear length to notch,1
Anourosorex squamipes,pes length,8
Anourosorex squamipes,tail length,9
Antechinomys laniger,body length,5
Antechinomys laniger,body mass,1
Antechinus bellus,body length,1
Antechinus flavipes,body length,25
Antechinus flavipes,body mass,3
Antechinus flavipes,ear length to notch,6
Antechinus flavipes,pes length,4
Antechinus flavipes,tail length,6
Antechinus minimus,body length,6
Antechinus minimus,tail length,1
Antechinus naso,body length,2
Antechinus naso,ear length to notch,2
Antechinus naso,pes length,2
Antechinus naso,tail length,2
Antechinus ninbing,body length,1
Antechinus stuartii,body length,30
Antechinus stuartii,body mass,15
Antechinus stuartii,ear length to notch,19
Antechinus stuartii,pes length,21
Antechinus stuartii,tail length,21
Antechinus swainsonii,body length,9
Antechinus swainsonii,body mass,2
Antechinus swainsonii,ear length to notch,2
Antechinus swainsonii,pes length,2
Antechinus swainsonii,tail length,2
Antidorcas Sundevall,body length,2
Antidorcas marsupialis,body length,24
Antidorcas marsupialis,body mass,1
Antidorcas marsupialis,ear length to notch,7
Antidorcas marsupialis,pes length,7
Antidorcas marsupialis,tail length,7
Antilocapra americana,body length,77
Antilocapra americana,body mass,10
Antilocapra americana,ear length to notch,39
Antilocapra americana,pes length,45
Antilocapra americana,tail length,38
Antilocapra cervicapra,body length,1
Antilope cervicapra,body length,55
Antilope cervicapra,body mass,1
Antilope cervicapra,ear length to notch,5
Antilope cervicapra,pes length,5
Antilope cervicapra,tail length,5
Antilopinae,body length,1
Aonyx capensis,body length,1
Aonyx capensis,ear length to notch,1
Aonyx capensis,pes length,1
Aonyx capensis,tail length,1
Aonyx cinerea,body length,9
Aonyx cinerea,body mass,5
Aonyx cinerea,ear length to notch,7
Aonyx cinerea,pes length,6
Aonyx cinerea,tail length,7
Aonyx cinereus,body length,5
Aonyx cinereus,ear length to notch,5
Aonyx cinereus,pes length,5
Aotus,body length,4
Aotus,body mass,1
Aotus,ear length to notch,4
Aotus,pes length,3
Aotus,tail length,4
Aotus hershkovitzi,body length,1
Aotus hershkovitzi,body mass,1
Aotus hershkovitzi,ear length to notch,1
Aotus hershkovitzi,pes length,1
Aotus hershkovitzi,tail length,1
Aotus lemurinus,body length,3
Aotus lemurinus,pes length,1
Aotus lemurinus,tail length,3
Aotus nancymaae,ear length to notch,1
Aotus nancymaae,pes length,1
Aotus nancymaae,tail length,1
Aotus nigriceps,body length,1
Aotus nigriceps,ear length to notch,1
Aotus nigriceps,pes length,1
Aotus nigriceps,tail length,1
Aotus trivirgatus,body length,16
Aotus trivirgatus,body mass,2
Aotus trivirgatus,ear length to notch,8
Aotus trivirgatus,pes length,8
Aotus trivirgatus,tail length,8
Aplodontia rufa,body length,549
Aplodontia rufa,body mass,330
Aplodontia rufa,ear length to notch,409
Aplodontia rufa,pes length,517
Aplodontia rufa,tail length,527
Apodemus,body length,52
Apodemus,body mass,48
Apodemus,ear length to notch,49
Apodemus,pes length,51
Apodemus,tail length,51
Apodemus Kaup,body length,1
Apodemus Kaup,,tail length,2
Apodemus agrarius,body length,387
Apodemus agrarius,body mass,354
Apodemus agrarius,ear length to notch,343
Apodemus agrarius,pes length,340
Apodemus agrarius,tail length,346
Apodemus argenteus,body length,6
Apodemus argenteus,body mass,3
Apodemus argenteus,ear length to notch,6
Apodemus argenteus,pes length,5
Apodemus argenteus,tail length,6
Apodemus chevrieri,body length,44
Apodemus chevrieri,body mass,40
Apodemus chevrieri,ear length to notch,43
Apodemus chevrieri,pes length,44
Apodemus chevrieri,tail length,41
Apodemus ciosus,body length,22
Apodemus ciosus,body mass,18
Apodemus ciosus,ear length to notch,21
Apodemus ciosus,pes length,19
Apodemus ciosus,tail length,21
Apodemus draco,body length,82
Apodemus draco,body mass,77
Apodemus draco,ear length to notch,78
Apodemus draco,pes length,79
Apodemus draco,tail length,79
Apodemus flavicollis,body length,45
Apodemus flavicollis,body mass,45
Apodemus flavicollis,ear length to notch,44
Apodemus flavicollis,pes length,48
Apodemus flavicollis,tail length,47
Apodemus latronum,body length,12
Apodemus latronum,body mass,11
Apodemus latronum,ear length to notch,11
Apodemus latronum,pes length,11
Apodemus latronum,tail length,11
Apodemus mystacinus,body length,3
Apodemus mystacinus,ear length to notch,3
Apodemus mystacinus,pes length,2
Apodemus mystacinus,tail length,3
Apodemus pallipes,body length,164
Apodemus pallipes,body mass,165
Apodemus pallipes,ear length to notch,164
Apodemus pallipes,pes length,164
Apodemus pallipes,tail length,164
Apodemus peninsulae,body length,294
Apodemus peninsulae,body mass,286
Apodemus peninsulae,ear length to notch,283
Apodemus peninsulae,pes length,288
Apodemus peninsulae,tail length,284
Apodemus sylvaticus,body length,147
Apodemus sylvaticus,body mass,26
Apodemus sylvaticus,ear length to notch,63
Apodemus sylvaticus,pes length,70
Apodemus sylvaticus,tail length,75
Apodemus uralensis,body length,269
Apodemus uralensis,body mass,270
Apodemus uralensis,ear length to notch,270
Apodemus uralensis,pes length,270
Apodemus uralensis,tail length,268
Apomys,body length,59
Apomys,body mass,58
Apomys,ear length to notch,52
Apomys,pes length,60
Apomys,tail length,59
Apomys datae,body length,24
Apomys datae,body mass,23
Apomys datae,ear length to notch,22
Apomys datae,pes length,24
Apomys datae,tail length,24
Apomys hylocetes,body length,4
Apomys hylocetes,body mass,4
Apomys hylocetes,ear length to notch,3
Apomys hylocetes,pes length,4
Apomys hylocetes,tail length,4
Apomys hylocoetes,body length,1
Apomys hylocoetes,body mass,1
Apomys hylocoetes,ear length to notch,1
Apomys hylocoetes,pes length,1
Apomys hylocoetes,tail length,1
Apomys insignis,body length,25
Apomys insignis,body mass,25
Apomys insignis,ear length to notch,25
Apomys insignis,pes length,25
Apomys insignis,tail length,25
Apomys lubangensis,body length,7
Apomys lubangensis,body mass,7
Apomys lubangensis,ear length to notch,6
Apomys lubangensis,pes length,7
Apomys lubangensis,tail length,5
Apomys microdon,body length,21
Apomys microdon,body mass,20
Apomys microdon,ear length to notch,18
Apomys microdon,pes length,21
Apomys microdon,tail length,21
Apomys musculus,body length,2
Apomys musculus,body mass,2
Apomys musculus,ear length to notch,2
Apomys musculus,pes length,2
Apomys musculus,tail length,2
Arborimus albipes,body length,141
Arborimus albipes,body mass,134
Arborimus albipes,ear length to notch,103
Arborimus albipes,pes length,104
Arborimus albipes,tail length,142
Arborimus longicaudus,body length,169
Arborimus longicaudus,body mass,137
Arborimus longicaudus,ear length to notch,150
Arborimus longicaudus,pes length,162
Arborimus longicaudus,tail length,169
Arborimus pomo,body length,132
Arborimus pomo,body mass,91
Arborimus pomo,ear length to notch,119
Arborimus pomo,pes length,132
Arborimus pomo,tail length,132
Arctictis binturong,body length,6
Arctictis binturong,body mass,3
Arctictis binturong,ear length to notch,4
Arctictis binturong,pes length,4
Arctictis binturong,tail length,4
Arctocebus calabarensis,body length,1
Arctocephalus australis,body length,1
Arctocephalus forsteri,body length,9
Arctocephalus forsteri,pes length,5
Arctocephalus philippii,body length,1
Arctocephalus pusillus,body length,9
Arctocephalus townsendi,body length,49
Arctocephalus townsendi,body mass,21
Arctocephalus townsendi,tail length,1
Arctocephalus tropicalis,body length,2
Arctocephalus tropicalis,body mass,2
Arctocyonides weigelti,tail length,1
Arctogalidia trivirgata,body length,3
Arctogalidia trivirgata,body mass,1
Arctogalidia trivirgata,ear length to notch,3
Arctogalidia trivirgata,pes length,3
Arctogalidia trivirgata,tail length,3
Arctonyx collaris,body length,2
Arctonyx collaris,ear length to notch,1
Arctonyx collaris,pes length,1
Artiodactyla,body length,4
Arvicanthis,body length,2
Arvicanthis,body mass,1
Arvicanthis,ear length to notch,2
Arvicanthis,pes length,2
Arvicanthis,tail length,2
Arvicanthis abyssinicus,body length,8
Arvicanthis abyssinicus,body mass,2
Arvicanthis abyssinicus,ear length to notch,5
Arvicanthis abyssinicus,pes length,7
Arvicanthis abyssinicus,tail length,7
Arvicanthis nairobae,body length,16
Arvicanthis nairobae,body mass,1
Arvicanthis nairobae,ear length to notch,1
Arvicanthis nairobae,pes length,1
Arvicanthis nairobae,tail length,1
Arvicanthis niloticus,body length,133
Arvicanthis niloticus,body mass,75
Arvicanthis niloticus,ear length to notch,123
Arvicanthis niloticus,pes length,123
Arvicanthis niloticus,tail length,80
Arvicola amphibius,body length,38
Arvicola amphibius,body mass,7
Arvicola amphibius,ear length to notch,33
Arvicola amphibius,pes length,33
Arvicola amphibius,tail length,35
Arvicola pinetarum,body length,1
Arvicola pinetarum,pes length,1
Arvicola pinetarum,tail length,1
Arvicola scherman,body length,1
Arvicola terrestris,body length,19
